"X1","X2","Range","Variance","CG"
0.0401303724257379,0.940116375306781,0.899986002881043,0.106454693021146,"cg11738485"
0.0674206387696296,0.948751842276734,0.881331203507104,0.0182493892608538,"cg07768103"
0.0802180435187481,0.95025864084664,0.870040597327892,0.0214921577007155,"cg14029206"
0.0298863479453776,0.896100896026925,0.866214548081548,0.0842114405351788,"cg22588144"
0.0603047089135443,0.922505173698598,0.862200464785053,0.0383964897829968,"cg23491743"
0.0544648062662802,0.91639399613936,0.86192918987308,0.0677660583445348,"cg21139150"
0.105968516214266,0.965723010192701,0.859754493978436,0.0293638507703331,"cg00056489"
0.0785906887761702,0.932639894264356,0.854049205488186,0.0690843826239317,"cg17509989"
0.0503442809806856,0.90209641603294,0.851752135052254,0.03733904658485,"cg26027669"
0.0276511916961023,0.874219918351814,0.846568726655712,0.0617833331298934,"cg05875700"
0.0313486027314938,0.875455454931038,0.844106852199544,0.0634207328562749,"cg26035071"
0.0376900371210265,0.876237377204943,0.838547340083917,0.077470180129211,"cg04131969"
0.111226174219882,0.947801033265561,0.836574859045679,0.0769719506851057,"cg03526459"
0.0343153902928421,0.865688016594324,0.831372626301482,0.0241301261874634,"cg10842314"
0.0608433958287751,0.89145839286489,0.830614997036115,0.0676774873611011,"cg01156747"
0.112970723996568,0.94200422179527,0.829033497798702,0.0534039587233051,"cg26354017"
0.0866755203400111,0.915455967384768,0.828780447044757,0.0716026099873022,"cg08103988"
0.0751544931060387,0.902515965009546,0.827361471903508,0.0247138936990825,"cg02459042"
0.0425454917801158,0.862221329933864,0.819675838153748,0.066590809849871,"cg24634471"
0.0760569412623613,0.890434191271847,0.814377250009486,0.0339404970980561,"cg08055132"
0.0386588813775856,0.851966718160749,0.813307836783164,0.0295946419644538,"cg06928484"
0.153894825580468,0.963513152918472,0.809618327338004,0.0263933034841446,"cg02159489"
0.145450862703136,0.954795648352672,0.809344785649536,0.0152608568953373,"cg04419754"
0.156177386038008,0.964249882977198,0.80807249693919,0.0195693629697465,"cg25165544"
0.0836295968939968,0.887685881961125,0.804056285067128,0.018943537611773,"cg16682227"
0.109914856319845,0.911026264852068,0.801111408532223,0.0199206790783586,"cg15831200"
0.0727968309601504,0.873306239515587,0.800509408555436,0.0648757759094089,"cg01778345"
0.0429473577857448,0.84171377523483,0.798766417449085,0.0739734463602815,"cg02113055"
0.0381070854896789,0.836459552811064,0.798352467321385,0.0318836954653436,"cg16637873"
0.166423877387253,0.962991887297536,0.796568009910283,0.0355177486129037,"cg04124606"
0.119052208182418,0.914990092435582,0.795937884253163,0.0545018381326158,"cg15982117"
0.0612790387671171,0.857122857060623,0.795843818293506,0.065167981519602,"cg01201512"
0.123798517933773,0.918314723322506,0.794516205388732,0.051781812145847,"cg14159672"
0.0437982718819924,0.835677618638869,0.791879346756877,0.0726530738725253,"cg08331829"
0.0745826786095166,0.865153834677623,0.790571156068106,0.0655411144734298,"cg04798314"
0.0428442991852654,0.832034615309752,0.789190316124486,0.049329045206134,"cg25755428"
0.145963732168141,0.933984261123286,0.788020528955145,0.0417247325063602,"cg08269402"
0.102839151786866,0.888458826093333,0.785619674306467,0.0645242421118212,"cg12036633"
0.077178612374927,0.86161359470852,0.784434982333593,0.0400474225708653,"cg26347887"
0.0802358752778221,0.863675848714483,0.783439973436661,0.0771162270298157,"cg27586797"
0.0728635946893428,0.855228720546856,0.782365125857513,0.0241388064355883,"cg24810735"
0.0622319101890593,0.842933195352057,0.780701285162998,0.074123016672642,"cg26536949"
